행정구역,인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시  (2700000000),"2,396,079","2,396,079","175,927","223,972","318,258","290,006","378,567","420,126","327,064","174,512","78,207","9,245",195
대구광역시 중구 (2711000000),"74,794","74,794","5,027","5,018","11,734","10,590","10,468","10,967","10,022","7,136","3,371",445,16
대구광역시 중구 동인동(2711051700),"8,301","8,301",311,479,"1,411","1,137","1,076","1,271","1,214",901,428,67,6
대구광역시 중구 삼덕동(2711054500),"6,621","6,621",434,373,"1,866","1,242",871,689,591,343,185,26,1
대구광역시 중구 성내1동(2711056500),"4,976","4,976",168,228,"1,482",756,535,591,580,405,188,41,2
대구광역시 중구 성내2동(2711057500),"4,345","4,345",135,186,787,534,463,726,733,527,219,35,0
대구광역시 중구 성내3동(2711058500),"5,015","5,015",587,220,608,"1,003",689,690,643,391,165,18,1
대구광역시 중구 대신동(2711059500),"7,999","7,999",866,552,820,"1,358","1,177","1,187","1,078",646,278,35,2
대구광역시 중구 남산1동(2711064000),"5,002","5,002",263,307,872,629,649,767,707,536,256,16,0
대구광역시 중구 남산2동(2711065000),"4,182","4,182",259,264,640,629,586,631,513,422,205,32,1
대구광역시 중구 남산3동(2711066000),"6,909","6,909",553,544,712,904,"1,120","1,039",965,719,323,29,1
대구광역시 중구 남산4동(2711067000),"11,739","11,739",867,"1,072","1,309","1,335","1,845","1,808","1,690","1,170",575,68,0
대구광역시 중구 대봉1동(2711068000),"7,493","7,493",512,649,982,875,"1,134","1,206",946,716,413,58,2
대구광역시 중구 대봉2동(2711069000),"2,212","2,212",72,144,245,188,323,362,362,360,136,20,0
대구광역시 동구 (2714000000),"338,825","338,825","24,860","26,427","41,307","43,219","50,756","56,127","51,482","30,032","13,134","1,446",35
대구광역시 동구 신암1동(2714051000),"7,489","7,489",271,427,876,655,926,"1,304","1,410","1,035",528,57,0
대구광역시 동구 신암2동(2714052000),"10,529","10,529","1,001",830,"1,011","1,390","1,829","1,517","1,424","1,016",457,53,1
대구광역시 동구 신암3동(2714053000),"9,845","9,845",945,649,"1,104","1,581","1,363","1,512","1,413",863,375,38,2
대구광역시 동구 신암4동(2714054000),"12,534","12,534",386,676,"1,835","1,454","1,633","2,444","2,256","1,284",506,60,0
대구광역시 동구 신암5동(2714054100),"6,454","6,454",215,397,779,558,829,"1,201","1,274",806,366,28,1
